Overall rank,Player name,_,_,Market value at 10th December 2020,Change vs October 2020,Selected currency,Current club (20/21 season),Current league (20/21 season),Nationality,Position,Age,Height (cm),Preferred foot,Intl. caps,Intl. goals,End of contract,On loan from (parent club),Agent
84,James Maddison,https://www.footballbenchmark.com/documents/images/Logos/Leicester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,54,-4.719812586591651,EUR (€),Leicester City FC,Premier League,England,Attacking midfielder,24.22,175,right,1,0,2024-06-30 00:00:00,"",Base Soccer Agency
85,Toni Kroos,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,53,1.0040961665431496,EUR (€),Real Madrid CF,La Liga,Germany,Central midfielder,31.11,183,right,101,17,2023-06-30 00:00:00,"",Sports Total
86,Ben Chilwell,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,52.8,5.437404502647524,EUR (€),Chelsea FC,Premier League,England,Left-back,24.15,178,left,11,0,2025-06-30 00:00:00,"",Stellar Group
87,Philippe Coutinho,https://www.footballbenchmark.com/documents/images/Logos/FC Barcelona.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,52.8,-1.4688003496101911,EUR (€),FC Barcelona,La Liga,Brazil,Attacking midfielder,28.67,172,right,62,18,2023-06-30 00:00:00,,Sports Invest UK
88,Thorgan Hazard,https://www.footballbenchmark.com/documents/images/Logos/Borussia Dortmund.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,52.6,-5.0135536359399495,EUR (€),Borussia Dortmund,Bundesliga,Belgium,Left winger,27.87,,right,31,4,2024-06-30 00:00:00,"",Thierry Hazard
90,Houssem Aouar,https://www.footballbenchmark.com/documents/images/Logos/Olympique Lyonnais.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,52.5,4.7128893667598675,EUR (€),Olympique Lyonnais,Ligue 1,France,Central midfielder,22.62,,right,1,0,2023-06-30 00:00:00,"",Wasserman Media Group
89,Moussa Diaby,https://www.footballbenchmark.com/documents/images/Logos/Bayer 04 Leverkusen.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,52.5,12.799985774538882,EUR (€),Bayer 04 Leverkusen,Bundesliga,France,Left winger,21.60,170,left,,,2024-06-30 00:00:00,"",
91,Paul Pogba,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,52,2.363560816951093,EUR (€),Manchester United FC,Premier League,France,Central midfielder,27.91,191,both,74,10,2022-06-30 00:00:00,"",Mino Raiola
92,Arthur,https://www.footballbenchmark.com/documents/images/Logos/Juventus FC.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,51.5,-6.020196331804485,EUR (€),Juventus FC,Serie A,Brazil,Central midfielder,24.50,171,right,20,0,2025-06-30 00:00:00,"",Ailton Melo
94,Kurt Zouma,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,50.8,11.20646222168395,EUR (€),Chelsea FC,Premier League,France,Centre-back,26.30,190,right,7,1,2023-06-30 00:00:00,"",
93,Wilfried Zaha,https://www.footballbenchmark.com/documents/images/Logos/Crystal Palace.png,https://www.footballbenchmark.com/documents/images/Flags/ci.png,50.8,11.506885004486245,EUR (€),Crystal Palace FC,Premier League,Ivory Coast,Left winger,28.26,180,right,18,5,2023-06-30 00:00:00,"",Pinhas Zahavi
95,Youri Tielemans,https://www.footballbenchmark.com/documents/images/Logos/Leicester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,50.5,2.088880172702723,EUR (€),Leicester City FC,Premier League,Belgium,Central midfielder,23.77,176,right,34,4,2023-06-30 00:00:00,"",Let's Play
96,Jules Koundé,https://www.footballbenchmark.com/documents/images/Logos/Sevilla FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,50.3,5.690014516130681,EUR (€),Sevilla FC,La Liga,France,Centre-back,22.25,,right,,,2024-06-30 00:00:00,"",ESN
97,Rodrigo Bentancur,https://www.footballbenchmark.com/documents/images/Logos/Juventus FC.png,https://www.footballbenchmark.com/documents/images/Flags/uy.png,50.1,-3.93390558157202,EUR (€),Juventus FC,Serie A,Uruguay,Central midfielder,23.63,187,right,33,0,2024-06-30 00:00:00,"",Back Sports
98,Nicolò Barella,https://www.footballbenchmark.com/documents/images/Logos/FC Internazionale Milano.png,https://www.footballbenchmark.com/documents/images/Flags/it.png,50,2.4355274524678876,EUR (€),FC Internazionale Milano,Serie A,Italy,Central midfielder,24.02,175,right,18,4,2024-06-30 00:00:00,"",Break Sport Management Sarl
99,Joe Gomez,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,49.9,6.50351623750381,EUR (€),Liverpool FC,Premier League,England,Centre-back,23.72,188,right,11,0,2024-06-30 00:00:00,"",Wasserman Media Group
100,Mateo Kovacic,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/hr.png,49.9,-3.3905837434930746,EUR (€),Chelsea FC,Premier League,Croatia,Central midfielder,26.77,178,right,63,3,2024-06-30 00:00:00,"",Venture Partners 11
102,Federico Chiesa,https://www.footballbenchmark.com/documents/images/Logos/Juventus FC.png,https://www.footballbenchmark.com/documents/images/Flags/it.png,49.8,-2.445494190129395,EUR (€),Juventus FC,Serie A,Italy,Right winger,23.30,175,right,21,1,2021-06-30 00:00:00,ACF Fiorentina,Enrico Chiesa
101,Theo Hernández,https://www.footballbenchmark.com/documents/images/Logos/AC Milan.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,49.8,3.176297339703531,EUR (€),AC Milan,Serie A,France,Left-back,23.35,184,left,,,2024-06-30 00:00:00,"",Manuel Garcia Quilon
103,Phil Foden,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,49.5,-0.5835299340018381,EUR (€),Manchester City FC,Premier League,England,Central midfielder,20.71,,left,2,0,2024-06-30 00:00:00,"",'- No agent -
104,Raúl Jiménez,https://www.footballbenchmark.com/documents/images/Logos/Wolverhampton Wanderers FC.png,https://www.footballbenchmark.com/documents/images/Flags/mx.png,49.3,-0.9068768951528341,EUR (€),Wolverhampton Wanderers FC,Premier League,Mexico,Forward,29.77,,right,82,23,2024-06-30 00:00:00,"",Gestifute
105,Koke,https://www.footballbenchmark.com/documents/images/Logos/Atlético de Madrid.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,48.7,3.5944622419094188,EUR (€),Atlético de Madrid,La Liga,Spain,Central midfielder,29.10,,right,47,0,2024-06-30 00:00:00,"",Gesport Espizua SL
106,Dele Alli,https://www.footballbenchmark.com/documents/images/Logos/Tottenham Hotspur FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,48.3,-12.258382917479112,EUR (€),Tottenham Hotspur FC,Premier League,England,Attacking midfielder,24.84,,right,37,3,2024-06-30 00:00:00,"",Base Soccer Agency
107,Ciro Immobile,https://www.footballbenchmark.com/documents/images/Logos/SS Lazio.png,https://www.footballbenchmark.com/documents/images/Flags/it.png,47.7,-0.3119641887083162,EUR (€),SS Lazio,Serie A,Italy,Forward,30.98,185,right,42,10,2025-06-30 00:00:00,"",GEA World
108,Mikel Merino,https://www.footballbenchmark.com/documents/images/Logos/Real Sociedad de Fútbol.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,47.5,10.430933518335992,EUR (€),Real Sociedad de Fútbol,La Liga,Spain,Central midfielder,24.64,188,left,6,0,2025-06-30 00:00:00,"",Bahía Internacional
109,Ousmane Dembélé,https://www.footballbenchmark.com/documents/images/Logos/FC Barcelona.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,47.3,2.9691061059149604,EUR (€),FC Barcelona,La Liga,France,Right winger,23.75,178,both,21,2,2022-06-30 00:00:00,"",Moussa Sissoko
110,Marcus Thuram,https://www.footballbenchmark.com/documents/images/Logos/Borussia VfL Mönchengladbach.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,47,6.421044588858699,EUR (€),Borussia VfL Mönchengladbach,Bundesliga,France,Left winger,23.52,192,right,3,0,2023-06-30 00:00:00,"",Mino Raiola
111,Steven Bergwijn,https://www.footballbenchmark.com/documents/images/Logos/Tottenham Hotspur FC.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,46.9,-4.036771271110446,EUR (€),Tottenham Hotspur FC,Premier League,Netherlands,Left winger,23.35,178,right,9,0,2025-06-30 00:00:00,"",Muy Manero
112,Fabinho,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,46.6,0.11381732395633291,EUR (€),Liverpool FC,Premier League,Brazil,Defensive midfielder,27.31,188,right,12,0,2023-06-30 00:00:00,"",Gestifute
113,Reece James,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,46.6,10.979739838399666,EUR (€),Chelsea FC,Premier League,England,Right-back,21.18,182,right,3,0,2025-06-30 00:00:00,"",Roc Nation Sports
114,Pierre-Emerick Aubameyang,https://www.footballbenchmark.com/documents/images/Logos/Arsenal FC.png,https://www.footballbenchmark.com/documents/images/Flags/ga.png,46.1,-1.4037786063961375,EUR (€),Arsenal FC,Premier League,Gabon,Forward,31.65,,right,51,20,2023-06-30 00:00:00,"",Pierre-Francois Aubameyang
115,Jorginho,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/it.png,46,1.3561868787402531,EUR (€),Chelsea FC,Premier League,Italy,Defensive midfielder,29.15,,right,27,5,2023-06-30 00:00:00,"",Jsport Management
116,Davinson Sánchez,https://www.footballbenchmark.com/documents/images/Logos/Tottenham Hotspur FC.png,https://www.footballbenchmark.com/documents/images/Flags/co.png,45.6,0.5694624081794117,EUR (€),Tottenham Hotspur FC,Premier League,Colombia,Centre-back,24.67,,right,28,0,2024-06-30 00:00:00,"","Villarreal, Schena & Hansen"
117,Pau Torres,https://www.footballbenchmark.com/documents/images/Logos/Villarreal CF.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,45.5,7.447914921907312,EUR (€),Villarreal CF,La Liga,Spain,Centre-back,24.08,191,left,7,1,2024-06-30 00:00:00,"",Interstar Deporte
118,Thiago,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,45.5,-3.485364257721784,EUR (€),Liverpool FC,Premier League,Spain,Central midfielder,29.84,174,right,39,2,2024-06-30 00:00:00,"",The Player Management
119,Jude Bellingham,https://www.footballbenchmark.com/documents/images/Logos/Borussia Dortmund.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,45,5,EUR (€),Borussia Dortmund,Bundesliga,England,Central midfielder,17.62,180,right,1,0,2023-06-30 00:00:00,"",
120,Rúben Neves,https://www.footballbenchmark.com/documents/images/Logos/Wolverhampton Wanderers FC.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,44.5,-4.180783407640469,EUR (€),Wolverhampton Wanderers FC,Premier League,Portugal,Defensive midfielder,23.92,,right,18,0,2023-06-30 00:00:00,"",Gestifute
121,Ilkay Gündogan,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,44.4,-6.039394401890803,EUR (€),Manchester City FC,Premier League,Germany,Central midfielder,30.30,,right,42,8,2023-06-30 00:00:00,"",Ilhan Gündogan
122,Bukayo Saka,https://www.footballbenchmark.com/documents/images/Logos/Arsenal FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,44.2,2.621347379812605,EUR (€),Arsenal FC,Premier League,England,Left winger,19.44,,left,4,0,2024-06-30 00:00:00,"",Elite Project Group Ltd.
123,Victor Lindelöf,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/se.png,44.1,1.2632107700558135,EUR (€),Manchester United FC,Premier League,Sweden,Centre-back,26.57,187,right,38,3,2024-06-30 00:00:00,"",HCM Sports Management
125,Lorenzo Pellegrini,https://www.footballbenchmark.com/documents/images/Logos/AS Roma.png,https://www.footballbenchmark.com/documents/images/Flags/it.png,44,1.5,EUR (€),AS Roma,Serie A,Italy,Central midfielder,24.65,186,both,15,2,2022-06-30 00:00:00,"",GP Soccer and Management
124,Mauro Icardi,https://www.footballbenchmark.com/documents/images/Logos/Paris Saint-Germain FC.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,44,-0.8996206264739115,EUR (€),Paris Saint-Germain FC,Ligue 1,Argentina,Forward,27.98,181,right,8,1,2024-06-30 00:00:00,"",Wanda Nara
126,Adama Traoré Diarra,https://www.footballbenchmark.com/documents/images/Logos/Wolverhampton Wanderers FC.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,43.6,-0.9039191973340266,EUR (€),Wolverhampton Wanderers FC,Premier League,Spain,Right winger,25.05,,right,5,0,2023-06-30 00:00:00,"",Promoesport
127,Callum Hudson-Odoi,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,43.5,-0.42382353177093535,EUR (€),Chelsea FC,Premier League,England,Left winger,20.27,182,right,3,0,2024-06-30 00:00:00,"",Bismarck Odoi
129,José Giménez,https://www.footballbenchmark.com/documents/images/Logos/Atlético de Madrid.png,https://www.footballbenchmark.com/documents/images/Flags/uy.png,43.1,1.2877191048953094,EUR (€),Atlético de Madrid,La Liga,Uruguay,Centre-back,26.06,,right,60,8,2023-06-30 00:00:00,"",Vida 11
128,Wilfred Ndidi,https://www.footballbenchmark.com/documents/images/Logos/Leicester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/ng.png,43.1,-3.505718291307524,EUR (€),Leicester City FC,Premier League,Nigeria,Defensive midfielder,24.16,183,right,34,0,2024-06-30 00:00:00,"",FirstEleven ISM
130,Ferland Mendy,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,43,2.659975595927108,EUR (€),Real Madrid CF,La Liga,France,Left-back,25.68,,left,6,0,2025-06-30 00:00:00,"",FS Management
131,Raphaël Guerreiro,https://www.footballbenchmark.com/documents/images/Logos/Borussia Dortmund.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,43,0.9897816549649932,EUR (€),Borussia Dortmund,Bundesliga,Portugal,Left-back,27.14,170,left,45,2,2023-06-30 00:00:00,"",Hu & Gu
133,Denis Zakaria,https://www.footballbenchmark.com/documents/images/Logos/Borussia VfL Mönchengladbach.png,https://www.footballbenchmark.com/documents/images/Flags/ch.png,42.5,0,EUR (€),Borussia VfL Mönchengladbach,Bundesliga,Switzerland,Defensive midfielder,24.23,191,right,28,3,2022-06-30 00:00:00,"",Lian Sports
132,Kalidou Koulibaly,https://www.footballbenchmark.com/documents/images/Logos/SSC Napoli.png,https://www.footballbenchmark.com/documents/images/Flags/sn.png,42.5,-2.5,EUR (€),SSC Napoli,Serie A,Senegal,Centre-back,29.65,195,right,43,1,2023-06-30 00:00:00,"",Lian Sports
134,Milan Skriniar,https://www.footballbenchmark.com/documents/images/Logos/FC Internazionale Milano.png,https://www.footballbenchmark.com/documents/images/Flags/sk.png,42.5,-4.236326933210577,EUR (€),FC Internazionale Milano,Serie A,Slovakia,Centre-back,26.01,187,right,33,0,2023-06-30 00:00:00,"",Skriniar's relatives
135,Christopher Nkunku,https://www.footballbenchmark.com/documents/images/Logos/RB Leipzig.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,42.4,7.773964016237357,EUR (€),RB Leipzig,Bundesliga,France,Attacking midfielder,23.25,178,right,,,2024-06-30 00:00:00,"",Jose-Karl Pierre-Fanfan
136,Tammy Abraham,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,42.4,-1.472495512495989,EUR (€),Chelsea FC,Premier League,England,Forward,23.36,190,right,6,1,2023-06-30 00:00:00,"",
137,Duván Zapata,https://www.footballbenchmark.com/documents/images/Logos/Atalanta BC.png,https://www.footballbenchmark.com/documents/images/Flags/co.png,42,5.922465695580698,EUR (€),Atalanta BC,Serie A,Colombia,Forward,29.87,186,right,16,3,2023-06-30 00:00:00,"","Villarreal, Schena & Hansen"
138,Aaron Wan-Bissaka,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,41.9,-2.563872859388688,EUR (€),Manchester United FC,Premier League,England,Right-back,23.21,183,right,0,0,2024-06-30 00:00:00,"",Unique Sports Management
139,Allan Saint-Maximin,https://www.footballbenchmark.com/documents/images/Logos/Newcastle United FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,41.7,1.2721570157170774,EUR (€),Newcastle United FC,Premier League,France,Left winger,23.92,173,right,,,2026-06-30 00:00:00,"",Hu & Gu
140,Lukas Klostermann,https://www.footballbenchmark.com/documents/images/Logos/RB Leipzig.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,41.6,-1.716836750295606,EUR (€),RB Leipzig,Bundesliga,Germany,Centre-back,24.70,189,right,10,0,2024-06-30 00:00:00,"",EMG Mundial
141,Thomas Müller,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,41.5,-0.8770593648196083,EUR (€),FC Bayern München,Bundesliga,Germany,Forward,31.42,186,right,100,38,2023-06-30 00:00:00,"",Kögl & Partner GmbH
142,Renan Lodi,https://www.footballbenchmark.com/documents/images/Logos/Atlético de Madrid.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,41.4,0.04822271295218172,EUR (€),Atlético de Madrid,La Liga,Brazil,Left-back,22.85,176,left,5,0,2025-06-30 00:00:00,"",
143,Ángel Correa,https://www.footballbenchmark.com/documents/images/Logos/Atlético de Madrid.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,41.3,8.311340644903467,EUR (€),Atlético de Madrid,La Liga,Argentina,Right winger,25.93,,right,12,2,2024-06-30 00:00:00,,Augustin Jimenez
145,Iñaki Williams,https://www.footballbenchmark.com/documents/images/Logos/Athletic Club Bilbao.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,40.9,3.8753073419852626,EUR (€),Athletic Club Bilbao,La Liga,Spain,Forward,26.66,186,right,1,0,2028-06-30 00:00:00,"",Gidot Sport
144,Lucas Hernández,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,40.9,4.144820212878379,EUR (€),FC Bayern München,Bundesliga,France,Left-back,25.00,182,left,21,0,2024-06-30 00:00:00,"",Manuel Garcia Quilon
146,Thomas Partey,https://www.footballbenchmark.com/documents/images/Logos/Arsenal FC.png,https://www.footballbenchmark.com/documents/images/Flags/gh.png,40.8,-0.6596479372414095,EUR (€),Arsenal FC,Premier League,Ghana,Defensive midfielder,27.67,185,right,28,9,2025-06-30 00:00:00,"",JJ Sport Managers
147,Dean Henderson,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,40.5,-0.4402715963439263,EUR (€),Manchester United FC,Premier League,England,Goalkeeper,23.92,188,right,1,0,2025-06-30 00:00:00,"",
150,Alessandro Bastoni,https://www.footballbenchmark.com/documents/images/Logos/FC Internazionale Milano.png,https://www.footballbenchmark.com/documents/images/Flags/it.png,40,5.592182457387246,EUR (€),FC Internazionale Milano,Serie A,Italy,Centre-back,21.83,190,left,3,0,2023-06-30 00:00:00,"",TMP SOCCER srl
149,Sandro Tonali,https://www.footballbenchmark.com/documents/images/Logos/AC Milan.png,https://www.footballbenchmark.com/documents/images/Flags/it.png,40,0,EUR (€),AC Milan,Serie A,Italy,Defensive midfielder,20.76,181,right,4,0,2022-06-30 00:00:00,Brescia Calcio,AGB Sport Management
148,Tanguy Ndombélé,https://www.footballbenchmark.com/documents/images/Logos/Tottenham Hotspur FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,40,-4.734219660165024,EUR (€),Tottenham Hotspur FC,Premier League,France,Central midfielder,24.13,181,right,6,0,2025-06-30 00:00:00,"",Yvan Le Mée
188,André Onana,https://www.footballbenchmark.com/documents/images/Logos/AFC Ajax.png,https://www.footballbenchmark.com/documents/images/Flags/cm.png,34.7,3.0413579626026817,EUR (€),AFC Ajax,Eredivisie,Cameroon,Goalkeeper,24.86,187,right,18,0,2022-06-30 00:00:00,"",Goal Management
203,Éverton,https://www.footballbenchmark.com/documents/images/Logos/SL Benfica.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,33.6,-1.0694857250177066,EUR (€),SL Benfica,Primeira Liga,Brazil,Left winger,24.89,174,right,16,3,2025-06-30 00:00:00,"",Gilmar Veloz
220,Donyell Malen,https://www.footballbenchmark.com/documents/images/Logos/PSV Eindhoven.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,31.7,2.1269034550187698,EUR (€),PSV Eindhoven,Eredivisie,Netherlands,Forward,22.07,179,right,4,1,2024-06-30 00:00:00,"",Mino Raiola
226,David Neres,https://www.footballbenchmark.com/documents/images/Logos/AFC Ajax.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,31.1,0.6451081550631734,EUR (€),AFC Ajax,Eredivisie,Brazil,Right winger,23.95,175,left,7,1,2023-06-30 00:00:00,"",Bertolucci Sports
244,Calvin Stengs,https://www.footballbenchmark.com/documents/images/Logos/AZ Alkmaar.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,29.7,4.445019401457714,EUR (€),AZ Alkmaar,Eredivisie,Netherlands,Right winger,22.15,187,left,2,0,2023-06-30 00:00:00,"",Mino Raiola
260,Jesús Corona,https://www.footballbenchmark.com/documents/images/Logos/FC Porto.png,https://www.footballbenchmark.com/documents/images/Flags/mx.png,28.5,4.299622048950596,EUR (€),FC Porto,Primeira Liga,Mexico,Right winger,28.10,173,both,42,7,2022-06-30 00:00:00,"",
292,Antony,https://www.footballbenchmark.com/documents/images/Logos/AFC Ajax.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,26.5,2.020370926111948,EUR (€),AFC Ajax,Eredivisie,Brazil,Right winger,20.97,172,left,,,2025-06-30 00:00:00,"",4ComM
304,Myron Boadu,https://www.footballbenchmark.com/documents/images/Logos/AZ Alkmaar.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,26,0.6484691150421966,EUR (€),AZ Alkmaar,Eredivisie,Netherlands,Forward,20.08,180,right,1,1,2023-06-30 00:00:00,"",Mino Raiola
311,Gabriel Barbosa,https://www.footballbenchmark.com/documents/images/Logos/CR Flamengo.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,25.7,-3.020934096369068,EUR (€),CR Flamengo,Brazil Serie A,Brazil,Forward,24.45,176,left,5,2,2024-12-31 00:00:00,"",4ComM
316,Ismaïla Sarr,https://www.footballbenchmark.com/documents/images/Logos/Watford FC.png,https://www.footballbenchmark.com/documents/images/Flags/sn.png,25.3,-0.0661644415717042,EUR (€),Watford FC,EFL Championship,Senegal,Right winger,22.97,185,right,32,5,2024-06-30 00:00:00,"",Wasserman Media Group
332,Gabriel Veron,https://www.footballbenchmark.com/documents/images/Logos/SE Palmeiras.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,24.5,0,EUR (€),SE Palmeiras,Brazil Serie A,Brazil,Right winger,18.45,176,right,,,2025-09-01 00:00:00,"",
343,Krépin Diatta,https://www.footballbenchmark.com/documents/images/Logos/Club Brugge.png,https://www.footballbenchmark.com/documents/images/Flags/sn.png,23.9,2.56659790147733,EUR (€),Club Brugge,Pro League,Senegal,Right winger,21.97,173,right,16,1,2024-06-30 00:00:00,"",
357,Teun Koopmeiners,https://www.footballbenchmark.com/documents/images/Logos/AZ Alkmaar.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,23.3,3.914396457888533,EUR (€),AZ Alkmaar,Eredivisie,Netherlands,Defensive midfielder,22.95,,left,1,0,2023-06-30 00:00:00,"",
360,Nicolás Tagliafico,https://www.footballbenchmark.com/documents/images/Logos/AFC Ajax.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,23.1,-0.8850235480945372,EUR (€),AFC Ajax,Eredivisie,Argentina,Left-back,28.45,171,left,27,0,2023-06-30 00:00:00,"",
365,Emiliano Buendía,https://www.footballbenchmark.com/documents/images/Logos/Norwich City FC.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,22.9,0.7801935479517574,EUR (€),Norwich City FC,EFL Championship,Argentina,Right winger,24.13,172,right,,,2024-06-30 00:00:00,"",TwentyTwo Sports Management
369,Rafa Silva,https://www.footballbenchmark.com/documents/images/Logos/SL Benfica.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,22.8,4.746014219053947,EUR (€),SL Benfica,Primeira Liga,Portugal,Left winger,27.74,170,right,18,0,2024-06-30 00:00:00,"",
372,Max Aarons,https://www.footballbenchmark.com/documents/images/Logos/Norwich City FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,22.7,0.03408847916714919,EUR (€),Norwich City FC,EFL Championship,England,Right-back,21.11,178,right,,,2024-06-30 00:00:00,"",Darren Dein
387,Quincy Promes,https://www.footballbenchmark.com/documents/images/Logos/AFC Ajax.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,22.1,-0.4217042264436053,EUR (€),AFC Ajax,Eredivisie,Netherlands,Left winger,29.11,174,right,40,7,2024-06-30 00:00:00,"",Sports Entertainment Group
400,Giorgian de Arrascaeta,https://www.footballbenchmark.com/documents/images/Logos/CR Flamengo.png,https://www.footballbenchmark.com/documents/images/Flags/uy.png,21.4,-0.060769072552076864,EUR (€),CR Flamengo,Brazil Serie A,Uruguay,Attacking midfielder,26.70,172,right,26,3,2023-12-31 00:00:00,"",
403,Felipe Anderson,https://www.footballbenchmark.com/documents/images/Logos/FC Porto.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,21.2,-0.5108444472431799,EUR (€),FC Porto,Primeira Liga,Brazil,Left winger,27.83,175,right,1,0,2022-06-30 00:00:00,West Ham United,Bertolucci Sports
410,Alejandro Grimaldo,https://www.footballbenchmark.com/documents/images/Logos/SL Benfica.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,21,-2.5530735810479186,EUR (€),SL Benfica,Primeira Liga,Spain,Left-back,25.40,176,left,,,2023-06-30 00:00:00,"",Wasserman Media Group
411,Matheus Henrique,https://www.footballbenchmark.com/documents/images/Logos/Gremio FBPA.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,21,1,EUR (€),Gremio FBPA,Brazil Serie A,Brazil,Central midfielder,23.15,175,right,1,0,2023-12-31 00:00:00,"",
421,David Brooks,https://www.footballbenchmark.com/documents/images/Logos/AFC Bournemouth.png,https://www.footballbenchmark.com/documents/images/Flags/Wales.png,20.8,5.757657206699205,EUR (€),AFC Bournemouth,EFL Championship,Wales,Right winger,23.60,173,left,12,1,2022-06-30 00:00:00,"",Unique Sports Management
424,Mohamed Ihattaren,https://www.footballbenchmark.com/documents/images/Logos/PSV Eindhoven.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,20.7,-0.9537738899841735,EUR (€),PSV Eindhoven,Eredivisie,Netherlands,Attacking midfielder,19.00,,left,0,0,2022-06-30 00:00:00,"",
440,Pedrinho,https://www.footballbenchmark.com/documents/images/Logos/SL Benfica.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,20.1,0.14190457434339976,EUR (€),SL Benfica,Primeira Liga,Brazil,Right winger,22.83,172,left,,,2025-06-30 00:00:00,"",
