"","passing_acc","player_name","year"
"1",0.742857142857143,"Carli Lloyd","2016"
"2",0.5,"Lynn Williams","2016"
"3",0.5,"Lynn Williams","2016"
"4",0.727272727272727,"Carli Lloyd","2016"
"5",0.75,"Megan Rapinoe","2016"
"6",0.5,"Lynn Williams","2016"
"7",0.933333333333333,"Carli Lloyd","2016"
"8",0.638888888888889,"Megan Rapinoe","2016"
"9",0.541666666666667,"Lynn Williams","2016"
"10",0.428571428571429,"Lynn Williams","2016"
"11",0.6,"Lynn Williams","2016"
"12",0.681818181818182,"Lynn Williams","2017"
"13",0.653061224489796,"Megan Rapinoe","2017"
"14",0.428571428571429,"Lynn Williams","2017"
"15",0.827586206896552,"Megan Rapinoe","2017"
"16",0.733333333333333,"Megan Rapinoe","2017"
"17",0.538461538461538,"Lynn Williams","2017"
"18",0.689655172413793,"Lynn Williams","2017"
"19",0.615384615384615,"Megan Rapinoe","2017"
"20",0.75,"Carli Lloyd","2017"
"21",0.609756097560976,"Megan Rapinoe","2017"
"22",0.580645161290323,"Carli Lloyd","2017"
"23",0.767857142857143,"Carli Lloyd","2017"
"24",0.742857142857143,"Megan Rapinoe","2017"
"25",0.76,"Lynn Williams","2017"
"26",0.6,"Mallory Pugh","2017"
"27",0.785714285714286,"Megan Rapinoe","2017"
"28",0.764705882352941,"Mallory Pugh","2017"
"29",0.522727272727273,"Megan Rapinoe","2017"
"30",0.681818181818182,"Megan Rapinoe","2018"
"31",0.545454545454545,"Lynn Williams","2018"
"32",0.4375,"Lynn Williams","2018"
"33",0.688888888888889,"Carli Lloyd","2018"
"34",0.409090909090909,"Lynn Williams","2018"
"35",0.833333333333333,"Mallory Pugh","2018"
"36",0.590909090909091,"Megan Rapinoe","2018"
"37",0.615384615384615,"Lynn Williams","2018"
"38",0.833333333333333,"Mallory Pugh","2018"
"39",0.5,"Lynn Williams","2018"
"40",0.5625,"Lynn Williams","2018"
"41",0.611111111111111,"Lynn Williams","2019"
"42",0.783783783783784,"Mallory Pugh","2019"
"43",0.696969696969697,"Mallory Pugh","2019"
"44",0.666666666666667,"Megan Rapinoe","2019"
"45",0.4375,"Lynn Williams","2019"
"46",0.555555555555556,"Megan Rapinoe","2019"
"47",0.636363636363636,"Carli Lloyd","2019"
"48",0.783783783783784,"Carli Lloyd","2019"
"49",0.866666666666667,"Lynn Williams","2019"
"50",0.548387096774194,"Carli Lloyd","2019"
"51",0.666666666666667,"Lynn Williams","2019"
"52",0.692307692307692,"Lynn Williams","2019"
"53",0.5,"Lynn Williams","2019"
"54",0.7,"Lynn Williams","2019"
"55",0.620689655172414,"Carli Lloyd","2019"
"56",0.814814814814815,"Mallory Pugh","2019"
"57",0.535714285714286,"Carli Lloyd","2019"
"58",0.571428571428571,"Lynn Williams","2019"
"59",0.666666666666667,"Lynn Williams","2019"
"60",0.588235294117647,"Lynn Williams","2019"
